駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
3000,西大手,114,"2,367","1,124",47.49,251,"1,332",782,"5,010",978,311,32,91,"393,371",294,24,"1,530",6.9,7.61,9.6,11,11.21,12.69,14.76,15.36,10.87,65.93,29.67,"2,485"
3001,上野市,"1,760","2,580","1,219",47.25,274,"1,450",852,"6,266","1,097",364,33,124,"498,385",409,35,"1,788",7.1,7.38,9.47,11.26,11.14,12.89,14.05,14.87,11.84,64.52,32.26,"3,417"
3002,広小路,160,"3,365","1,596",47.43,394,"1,903","1,062","4,367","1,428",473,33,121,"488,226",417,40,552,7.98,7.65,8.96,11.88,11.58,12.54,14.65,13.91,10.84,62.81,33.06,"2,456"
3003,茅町,791,"3,711","1,810",48.77,405,"2,156","1,141","4,192","1,601",585,37,108,"1,101,078",364,29,318,6.97,7.94,10.07,11.88,11.72,13.04,14.58,14.15,9.64,56.48,36.11,"2,262"
3004,桑町,513,"1,700",848,49.88,159,"1,045",492,"2,781",749,313,42,23,"438,910",143,13,382,6.19,6.67,11.27,13.63,11.15,12.86,15.81,12.57,9.85,34.78,43.48,"1,636"
3005,猪田道,60,260,124,47.69,34,142,84,154,80,17,21,1,0,8,1,0,11.2,5.02,6.56,11.2,7.72,15.44,16.99,18.53,7.34,0,0,30
3006,市部,152,250,113,45.2,27,138,85,158,70,9,13,4,"23,613",13,1,0,5.65,8.87,6.85,9.27,9.68,16.13,16.94,15.32,11.29,25,25,38
3007,依那古,98,439,205,46.7,30,243,166,459,156,34,22,5,"22,856",38,0,68,4.09,4.55,9.09,9.55,8.18,16.36,20.68,15.91,11.59,80,20,172
3008,丸山,82,251,114,45.42,25,138,90,348,74,9,12,2,0,10,0,150,7.94,6.35,4.37,11.11,8.73,16.27,17.06,15.08,13.1,50,0,73
3009,上林,41,223,107,47.98,19,116,88,109,61,3,5,0,0,2,0,0,5.41,7.66,7.66,8.56,11.71,13.96,14.86,19.82,10.36,0,0,20
